v1,v2,,,
not spam,"Some friends want me to drive em someplace, probably take a while",,,
not spam,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,,,
not spam,Are you still getting the goods.,,,
not spam,And maybe some pressies,,,
not spam,"Yeah I am, so I'll leave maybe 7ish?",,,
not spam,K..k..i'm also fine:)when will you complete the course?,,,
not spam,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
not spam,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,,,
not spam,You in your room? I need a few,,,
not spam,I dont want to hear anything,,,
not spam,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,,,
not spam,Ultimately tor motive tui achieve korli.,,,
not spam,From 5 to 2 only my work timing.,,,
not spam,ýý_ and donýýýt worry weýýýll have finished by march ýý_ ish!,,,
not spam,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",,,
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,,,
not spam,Now thats going to ruin your thesis!,,,
not spam,In sch but neva mind u eat 1st lor..,,,
not spam,Hey whats up? U sleeping all morning?,,,
not spam,Erm. I thought the contract ran out the4th of october.,,,
not spam,I dunno until when... Lets go learn pilates...,,,
spam,U are subscribed to the best Mobile Content Service in the UK for ï¿½ï¿½3 per ten days until you send STOP to 83435. Helpline 08706091,,,
not spam,Yup i'm elaborating on the safety aspects and some other issues..,,,
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs ï¿½ï¿½1.50 ",,,
not spam,"Goodmorning, today i am late for 1hr.",,,
not spam,Hi happy birthday. Hi hi hi hi hi hi hi,,,
not spam,I will be outside office take all from there,,,
not spam,If you don't respond imma assume you're still asleep and imma start calling n shit,,,
not spam,"Aight, see you in a bit",,,
not spam,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),,,
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,,,
not spam,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,,,
not spam,Still work going on:)it is very small house.,,,
not spam,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",,,
not spam,Tmr timin still da same wat cos i got lesson until 6...,,,
not spam,"Thatï¿½ï¿½ï¿½s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, tha",,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. ï¿½ï¿½1.50 SP:Ty,,,
not spam,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,,,
not spam,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",,,
not spam,Okie... Thanx...,,,
not spam,"Gosh that , what a pain. Spose I better come then.",,,
not spam,"As usual..iam fine, happy &amp; doing well..:)",,,
not spam,Okie,,,
not spam,So when you gonna get rimac access ,,,
not spam,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",,,
not spam,You call times job today ok umma and ask them to speed up,,,
not spam,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\""""",,,
not spam,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,,,
not spam,:-) yeah! Lol. Luckily i didn't have a starring role like you!,,,
not spam,Hello madam how are you ?,,,
not spam,"Awesome, text me when you're restocked",,,
not spam,"As usual..iam fine, happy &amp; doing well..:)",,,
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a ï¿½ï¿½250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopï¿½ï¿½1,,,
not spam,Yes. It's all innocent fun. O:-),,,
not spam,Thanks for sending this mental ability question..,,,
not spam,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",,,
not spam,2marrow only. Wed at  &lt;#&gt;  to 2 aha.,,,
not spam,I went to ur hon lab but no one is there.,,,
not spam,I cant pick the phone right now. Pls send a message,,,
not spam,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,,,
not spam,How come?,,,
not spam,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,,,
not spam,Ok lor...,,,
not spam,I'm coming home 4 dinner.,,,
not spam,S da..al r above  &lt;#&gt;,,,
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only ï¿½ï¿½1.50""",,,
not spam,Unni thank you dear for the recharge..Rakhesh,,,
not spam,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,,,
not spam,Haha... They cant what... At the most tmr forfeit... haha so how?,,,
not spam,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",,,
not spam,No way I'm going back there!,,,
spam,"URGENT! Your mobile No 077xxx WON a ï¿½ï¿½2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 15",,,
not spam,I WILL CAL YOU SIR. In meeting,,,
not spam,"That's what I love to hear :V see you sundayish, then",,,
not spam,"Sorry da thangam, very very sorry i am held up with prasad.",,,
not spam,Tiwary to rcb.battle between bang and kochi.,,,
not spam,Thank god they are in bed!,,,
not spam,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
not spam,Am in gobi arts college,,,
not spam,Why she wants to talk to me,,,
not spam,Pandy joined 4w technologies today.he got job..,,,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a ï¿½ï¿½500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrc",,,
not spam,"They can try! They can get lost, in fact. Tee hee",,,
not spam,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
not spam,My friends use to call the same.,,,
not spam,"Sorry, I'll call later",,,
not spam,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",,,
not spam,"It,,s a taxt massage....tie-pos argh ok! Lool!",,,
not spam,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",,,
not spam,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",,,
not spam,Do you like shaking your booty on the dance floor?,,,
not spam,"Text me when you get off, don't call, my phones having problems",,,
not spam,No need for the drug anymore.,,,
not spam,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,,,
not spam,Its sarcasm.. .nt scarcasim,,,
not spam,Great! I have to run now so ttyl!,,,
not spam,Feel like trying kadeem again? :V,,,
not spam,Dai  &lt;#&gt;  naal eruku.,,,
not spam,Not yet chikku..wat abt u?,,,
not spam,Ok...,,,
not spam,Want to finally have lunch today?,,,
not spam,Do you know when dad will be back?,,,
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",,,
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,,,
not spam,He remains a bro amongst bros,,,
not spam,R u meeting da ge at nite tmr?,,,
not spam,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",,,
not spam,Why de. You looking good only:-)..,,,
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp ï¿½ï¿½1.50,,,
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,,,
not spam,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,,,
not spam,"That's cool, I'll come by like  &lt;#&gt; ish",,,
not spam,Super msg da:)nalla timing.,,,
not spam,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",,,
not spam,I am 6 ft. We will be a good combination!,,,
not spam,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,,,
not spam,* Am on a train back from northampton so i'm afraid not!,,,
not spam,Where in abj are you serving. Are you staying with dad or alone.,,,
not spam,Was playng 9 doors game and gt racing on phone lol,,,
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",,,
not spam,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
not spam,I'm on da bus going home...,,,
not spam,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,,,
not spam,I'm okay. Chasing the dream. What's good. What are you doing next.,,,
not spam,Yupz... I've oredi booked slots 4 my weekends liao... ,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a ï¿½ï¿½800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs ,,,
not spam,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,,,
not spam,Okie,,,
not spam,Yes I know the cheesy songs from frosty the snowman :),,,
not spam,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",,,
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,,,
not spam,Hey tmr meet at bugis 930 ?,,,
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",,,
not spam,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,,,
not spam,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,,,
not spam,And whenever you and i see we can still hook up too.,,,
not spam,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,,,
not spam,Can you use foreign stamps for whatever you send them off for? ,,,
spam,FROM 88066 LOST ï¿½ï¿½12 ,,,
not spam,Oh baby of the house. How come you dont have any new pictures on facebook,,,
not spam,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",,,
not spam,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",,,
not spam,"Omw back to tampa from west palm, you hear what happened?",,,
not spam,Yup no more already... Thanx 4 printing n handing it up.,,,
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,,,
not spam,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,,,
not spam,S now only i took tablets . Reaction morning only.,,,
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,,,
not spam,"Nah, I'm a perpetual DD",,,
not spam,Sorry de i went to shop.,,,
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,,,
not spam,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
not spam,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,,
not spam,Nope i'm not drivin... I neva develop da photos lei...,,,
not spam,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,,,
not spam,Cool. I am  &lt;#&gt;  inches long. hope you like them big!,,,
not spam,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
not spam,Okie.. Thanx..,,,
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
not spam,Go where n buy? Juz buy when we get there lar.,,,
not spam,Ok lor...,,,
not spam,I'm working technical support :)voice process.,,,
not spam,It's justbeen overa week since we broke up and already our brains are going to mush!,,,
not spam,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",,,
not spam,Nope... C ï¿½_ then.,,,
not spam,No. But we'll do medical missions to nigeria,,,
not spam,No i am not having not any movies in my laptop,,,
not spam,Whatsup there. Dont u want to sleep,,,
spam,Urgent Please call 09066612661 from landline. ï¿½ï¿½5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+,,,
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or ï¿½ï¿½1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH",,,
not spam,I havent lei.. Next mon can?,,,
not spam,Mm feeling sleepy. today itself i shall get that dear,,,
not spam,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,,,
not spam,Do ï¿½_ noe if ben is goin,,,
not spam,Can you do a mag meeting this avo at some point?,,,
not spam,I meant middle left or right?,,,
not spam,Really? I crashed out cuddled on my sofa.,,,
not spam,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,
not spam,"I sent you the prices and do you mean the  &lt;#&gt; g,",,,
not spam,Are you this much buzy,,,
not spam,Nothing. Can...,,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
not spam,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,,,
not spam,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,,,
not spam,"Tick, tick, tick ... Babe",,,
not spam,R ï¿½_ going 4 today's meetin,,,
not spam,K da:)how many page you want?,,,
not spam,Ya had just now.onion roast.,,,
not spam,Send his number and give reply tomorrow morning for why you said that to him like that ok,,,
not spam,You said not now. No problem. When you can. Let me know.,,,
not spam,Ok but tell me half an hr b4 u come i need 2 prepare.,,,
not spam,Play w computer? Aiyah i tok 2 u lor?,,,
not spam,Sat right? Okay thanks... ,,,
not spam,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",,,
not spam,Ok Chinese food on its way. When I get fat you're paying for my lipo.,,,
not spam,We r outside already.,,,
not spam,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,,,
not spam,Yo we are watching a movie on netflix,,,
not spam,What time. Iï¿½ï¿½ï¿½m out until prob 3,,,
not spam,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",,,
not spam,I dont thnk its a wrong calling between us,,,
not spam,I am not sure about night menu. . . I know only about noon menu,,,
not spam,ARR birthday today:) i wish him to get more oscar.,,,
not spam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
not spam,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",,,
not spam, and  picking them up from various points,,,
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,,,
not spam,Wow v v impressed. Have funs shopping!,,,
not spam,I am on the way to ur home,,,
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,,,
not spam,No problem. Talk to you later,,,
not spam,Then ur sis how?,,,
not spam,Still in customer place,,,
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,,,
not spam,"Dude u knw also telugu..thts gud..k, gud nyt..",,,
not spam,We confirm eating at esplanade?,,,
not spam,Send me your id and password,,,
not spam,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,,,
spam,"For ur chance to win a ï¿½ï¿½250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p",,,
not spam,Well I might not come then...,,,
not spam,Long after I quit. I get on only like 5 minutes a day as it is.,,,
not spam,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,,,
not spam,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,,,
not spam,"Just arrived, see you in a couple days &lt;3",,,
not spam,"K, wat s tht incident?",,,
not spam,Yeah get the unlimited,,,
not spam,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,,,
not spam,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",,,
not spam,ýý got wat to buy tell us then ý_ no need to come in again.,,,
not spam,When you are big..| God will bring success.,,,
spam,Uï¿½ï¿½ï¿½ve Bin Awarded ï¿½ï¿½50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min ï¿½ï¿½50-ï¿½ï¿½500. ,,,
not spam,"ýý_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""ham""",Well there's still a bit left if you guys want to tonight,,
not spam,Not from this campus. Are you in the library?,,,
not spam,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",,,
not spam,How will I creep on you now? ;_;,,,
not spam,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,,,
not spam,If I get there before you after your ten billion calls and texts so help me god,,,
not spam,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
not spam,I've told him that i've returned it. That should i re order it.,,,
not spam,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",,,
not spam,Depends on where u going lor.,,,
not spam,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,,,
spam,FreeMsg>FAV XMAS TONES!Reply REAL,,,
not spam,Lil fever:) now fine:),,,
not spam,I think it's all still in my car,,,
not spam,Can a not?,,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,,,
not spam,Yes princess! I want to catch you with my big strong hands...,,,
not spam,Oh yeah I forgot. U can only take 2 out shopping at once.,,,
not spam,Mm so you asked me not to call radio,,,
not spam,Thinkin about someone is all good. No drugs for that,,,
not spam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
not spam,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",,,
not spam,"Alright if you're sure, let me know when you're leaving",,,
not spam,Some are lasting as much as 2 hours. You might get lucky.,,,
not spam,Genius what's up. How your brother. Pls send his number to my skype.,,,
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",,,
not spam,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,,
not spam,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,,,
spam,INTERFLORA - ï¿½ï¿½It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomor,,,
not spam,Oh god..taken the teeth?is it paining,,,
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,,,
not spam,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,,,
not spam,No need to buy lunch for me.. I eat maggi mee..,,,
spam,"Congratulations - Thanks to a good friend U have WON the ï¿½ï¿½2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-",,,
not spam,Ok lor...,,,
not spam,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",,,
not spam,Wife.how she knew the time of murder exactly,,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,,,
not spam,Howz that persons story,,,
not spam,Thanx 4 sending me home...,,,
not spam,Its normally hot mail. Com you see!,,,
spam,"You've won tkts to the EURO2004 CUP FINAL or ï¿½ï¿½800 CASH, to collect CALL 09058099801 b4190604, POBOX 787615",,,
not spam,U sick still can go shopping?,,,
not spam,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",,,
not spam,Nice.nice.how is it working?,,,
not spam,1's reach home call me.,,,
not spam,Were trying to find a Chinese food place around here,,,
not spam,"Easy mate, * guess the quick drink was bit ambitious.",,,
not spam,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,,,
not spam,Ok thanx...,,,
not spam,aathi..where are you dear..,,,
not spam,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",,,
not spam,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,,,
not spam,Will be out of class in a few hours. Sorry,,,
not spam,Wat time u finish ur lect today?,,,
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",,,
not spam,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",,,
not spam,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,,,
not spam,Are you going to wipro interview today?,,,
not spam,how tall are you princess?,,,
not spam,I doubt you could handle 5 times per night in any case...,,,
not spam,Haha... Hope ï¿½_ can hear the receipt sound... Gd luc,,,
not spam,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,,,
not spam,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
not spam,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,,,
not spam,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,,,
not spam,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
not spam,I want to be there so i can kiss you and feel you next to me,,,
not spam,I am not at all happy with what you saying or doing,,,
spam,Adult 18 Content Your video will be with you shortly,,,
not spam,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",,,
not spam,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,,,
not spam,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
not spam,Smith waste da.i wanna gayle.,,,
not spam,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",,,
not spam,"Aight, tomorrow around  &lt;#&gt;  it is",,,
not spam,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",,,
not spam,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,,,
not spam,See you there! ,,,
not spam,I dont understand your message.,,,
not spam,Crucify is c not s. You should have told me earlier.,,,
not spam,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",,,
not spam,Fuck cedar key and fuck her (come over anyway tho),,,
not spam,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,,,
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",,,
not spam,U still painting ur wall?,,,
spam,"Last Chance! Claim ur ï¿½ï¿½150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. ï¿½ï¿½3.00",,,
not spam,Printer is cool. I mean groovy. Wine is groovying,,,
not spam,Hi Harish's rent has been transfred to ur Acnt.,,,
not spam,Anything lor is she coming?,,,
not spam,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,,,
not spam,ýý still attending da talks?,,,
not spam,No probs hon! How u doinat the mo?,,,
not spam,K I'll take care of it,,,
not spam,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,,,
not spam,My battery is low babe,,,
not spam,Shuhui has bought ron's present it's a swatch watch...,,,
not spam,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",,,
not spam,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,,
not spam,K I'll be sure to get up before noon and see what's what,,,
not spam,K...k...yesterday i was in cbe .,,,
not spam,Went to ganesh dress shop,,,
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",,,
not spam,ýý collecting ur laptop then going to configure da settings izzit?,,,
not spam,If you r @ home then come down within 5 min,,,
not spam,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",,,
not spam,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,,,
