Num,Networth Next Year,Total assets,Net worth,Total income,Change in stock,Total expenses,Profit after tax,PBDITA,PBT,Cash profit,PBDITA as % of total income,PBT as % of total income,PAT as % of total income,Cash profit as % of total income,PAT as % of net worth,Sales,Income from financial services,Other income,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Borrowings,Current liabilities & provisions,Deferred tax liability,Shareholders funds,Cumulative retained profits,Capital employed,TOL/TNW,Total term liabilities / tangible net worth,Contingent liabilities / Net worth (%),Contingent liabilities,Net fixed assets,Investments,Current assets,Net working capital,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Cash to current liabilities (times),Cash to average cost of sales per day,Creditors turnover,Debtors turnover,Finished goods turnover,WIP turnover,Raw material turnover,Shares outstanding,Equity face value,EPS,Adjusted EPS,Total liabilities,PE on BSE
1849,4.4,13.3,4.2,16.5,-0.8,15.5,0.2,0.6,0.2,0.6,3.64,1.21,1.21,3.64,0,16.5,,,2.5,1.7,,7.5,1.6,,4.2,1.7,11.7,2.17,1.79,0,,2.1,,10.1,8.5,2.56,6.31,1.79,0.31,11.2,NA,NA,NA,NA,NA,800,10,250,250,13.3,NA
1850,156.7,166.6,152.3,106.7,1,72.5,35.2,40.9,36.1,39.2,38.33,33.83,32.99,36.74,26.13,74.6,31.6,,5.7,146.6,,3,7.4,3.9,152.3,149.2,155.3,0.05,0,0,,42.6,91.8,16.9,6.5,0.42,1.62,0.02,0.07,3.64,9.92,18.65,7.83,7.97,0.01,572510,10,61.48,61.48,166.6,NA
1851,80.4,169.2,69.8,387.2,16.9,390.4,13.7,28.9,22.3,16.3,7.46,5.76,3.54,4.21,20.96,385.5,0.3,0.9,39,30.8,,16,77.7,5.7,69.8,30.8,85.8,1.16,0.07,72.92,50.9,34.4,,120.2,31.2,0.86,1.35,0.23,0.15,13.46,7.13,7.53,13.37,11.29,11.04,3900000,10,3.51,3.51,169.2,5.12
1852,188,379,136.7,320.7,1.7,314.1,8.3,37.8,17.9,21.5,11.79,5.58,2.59,6.7,5.98,317.5,3.2,,72.1,65.1,,157.8,58.2,25.8,136.7,64.6,294.5,1.42,1.04,5.12,7,183.7,10.5,150.3,76.2,1.54,2.03,1.15,0.09,8.93,5.34,3.1,799.8,29.11,5.1,7205190,10,2.28,2.28,379,NA
1853,40.7,208.2,41.1,204.8,9.6,211.2,3.2,25.5,0,18,12.45,0,1.56,8.79,8.1,204,0.1,0.5,60,31.1,,91.8,22.2,3.1,91.1,25.2,182.9,2.58,1.87,16.55,6.8,110.4,1.3,71,33.9,1.06,1.91,3.45,0.09,5.91,20.7,7.49,25.03,20.01,8.48,996000,10,3.01,3.01,208.2,NA
1854,2805.3,6368.9,2710.7,12636,-75.5,11184.5,1376,2165.1,1878.9,1667.8,17.13,14.87,10.89,13.2,52.84,12387,147.3,27.9,1359.9,1350.8,,43.6,3511,103.6,2710.7,2341.7,2754.3,1.06,0.02,16.65,451.4,1600.2,1483.4,1730.5,-1780.5,0.29,0.49,0.02,0.26,30.44,3.27,103.96,10.95,5.53,14.13,135992817,10,10.12,10.12,6368.9,42.7
1855,373.5,709,339.8,960.6,20.7,958.5,22.8,70.2,14.8,31.5,7.31,1.54,2.37,3.28,8.03,960.3,0.3,,37.7,226.3,,303.5,65.1,,339.8,35.3,643.3,1.08,0.57,0,,369.3,0.8,260.2,84.2,0.87,1.48,0.89,0.08,5.99,26.85,11.74,38.67,38.8,14.1,NA,NA,-0.01,-0.01,709,NA
1856,1758.8,4525,1005.9,5047.9,433.3,5421.1,60.1,277.5,107.8,154,5.5,2.14,1.19,3.05,7.72,5040.1,6.3,1,373.7,632.2,,1677.5,1761.7,79.9,1005.9,79.2,2683.4,3.4,0.86,159.23,1601.7,1132.3,3.5,2247.3,-328.3,0.35,0.87,1.67,0.01,2.71,4.42,6.52,14.34,8.47,3.94,NA,NA,-0.03,-0.03,4525,NA
1857,352.8,894.8,352.8,938.4,20.7,925.1,34,80.7,40.9,43.3,8.6,4.36,3.62,4.61,0,932.2,5.8,0.4,120,322.2,,263,171.9,17.7,352.8,232.8,615.8,1.19,0.7,27.21,96,150.1,19.1,566.6,429.3,2.56,4.13,0.75,0.09,5.27,NA,NA,NA,NA,NA,3000000,10,11.33,11.33,894.8,NA
1858,24,99.2,22.9,160.4,-2.5,155.1,2.8,11.9,4.4,5.6,7.42,2.74,1.75,3.49,12.31,157.9,1.1,0.1,22.3,5.4,,46.5,23.9,0.9,27.9,5.4,74.4,2.97,1.08,0,,40,,45.9,0.3,0.59,0.92,2.25,0.01,1.21,8.03,7.48,,23.66,13.33,NA,NA,0,0,99.2,NA
1859,95.4,118.8,98.2,33.8,9,42.2,0.6,7.1,1.1,5.6,21.01,3.25,1.78,16.57,0.61,33.5,0.3,,88.4,11.9,,5.2,11.1,2.2,98.2,3.7,103.4,0.15,0.01,0,,50.5,1.6,33.8,18.9,0.76,2.15,0.05,0.08,14.04,2.73,3.45,6.39,2.91,1.51,8842512,10,0.08,0.08,118.8,31.58
1860,35.1,40,35.2,,,0.6,-0.6,-0.1,-0.6,-0.1,,,,,-1.7,,,,44.2,-8,,0.9,2.9,,35.2,-9,36.1,0.11,0.03,0,,11.7,25.2,1.5,-1.4,0.52,0.52,0.03,0,0,0,0,,,0,4420000,10,-0.14,-0.14,40,-36.83
1861,5.9,9.2,5.8,2.5,,1.6,0.9,2.2,1,0.9,88,40,36,36,16.98,,2.5,,4.1,1.7,,,3.4,,5.8,1.7,5.8,0.53,0,0,,,5.2,0.2,-3.2,0.06,0.06,0,0.06,243.33,0,0,,,0,NA,NA,0,0,9.2,NA
1862,378.2,1237.2,368.4,753,79.6,796.5,36.1,175.5,55.5,103.6,23.31,7.37,4.79,13.76,10.14,752.7,,0.2,140,78.4,,565.7,158.4,144.7,368.4,78.4,934.1,1.95,1.33,0,,668.7,,354.5,125.2,0.32,1.52,1.54,0.01,1.91,9.4,7.96,2.42,2.68,50.5,NA,NA,-0.02,-0.02,1237.2,NA
1863,145.3,675.5,135.6,1086.6,28.5,1113.2,1.9,49.2,15.6,24.1,4.53,1.44,0.17,2.22,1.35,1067.9,3.3,15.4,7.5,159,,239,263.3,6.7,135.6,133.1,374.6,3.62,0.58,0,,89.7,0.5,279.2,-145.6,0.29,0.66,1.76,0.14,20.41,2.86,16.54,3.89,1.43,5.14,750000,10,2.93,2.93,675.5,NA
1864,108.8,103.6,101.4,41.9,1.3,37.1,6.1,14.2,9.1,10.9,33.89,21.72,14.56,26.01,6.2,36.7,5.2,,5.1,96.3,,,2.2,,101.4,96.3,101.4,0.01,0,0,,33.4,,53.3,51.1,21.82,24.23,0,18.14,444.01,201,4.53,7.87,8.31,3.07,NA,NA,0,0,103.6,NA
1865,133.4,600.4,133.4,1183.2,1.5,1155.2,29.5,86.3,36.6,52.1,7.29,3.09,2.49,4.4,24.51,1181.7,0.5,,15,123.2,,255.4,200.7,6.1,133.4,115.7,388.8,3.42,1.23,2.1,2.8,260.1,1.7,193.2,-98.7,0.39,0.66,1.91,0.12,11.4,11.56,17.95,28.32,23.06,28.49,1265800,10,25.36,25.36,600.4,NA
1866,922.6,1368.9,691.5,1319.5,27.2,1191.6,155.1,235.2,154.5,182,17.82,11.71,11.75,13.79,30.06,1314.7,4.5,,128.2,575,,485.1,180.6,,691.5,333.1,1176.6,0.96,0.26,18.47,127.7,346.1,92.1,719.6,231.7,0.56,1.47,0.7,0.09,14.24,5.15,8.46,85.03,10.89,2.52,12818200,10,12.08,12.08,1368.9,14.69
1867,6593.4,16535,5211.4,28284.2,178,26831.7,1630.5,2983,1948,2462.5,10.55,6.89,5.76,8.71,35.67,28021.1,71.8,111.3,523.7,4840.1,,2497.7,8274.3,399.2,5211.4,2572.1,7709.1,1.9,0.47,68.51,3570.2,3496.9,1021.5,10016.5,1970.1,0.99,1.24,0.48,0.16,17.75,4.11,4.26,45.95,12.11,25.19,52366656,10,31.14,2.54,16535,33.7
1868,222,270.1,216.8,296.1,0.9,293.6,3.4,13.8,4.7,9.8,4.66,1.59,1.15,3.31,1.58,280.7,5.4,,19.5,197.3,,15,38.3,,216.8,197.3,231.8,0.18,0,6.46,14,57.1,68,102,48.7,1.36,1.91,0.07,0.91,61.09,16.54,15.77,105.2,106.43,6.76,1950000,10,-3.38,-3.38,270.1,NA
1869,108.3,148.7,86.3,268.1,-0.2,254.6,13.3,27.5,20.5,17.3,10.26,7.65,4.96,6.45,16.69,266.8,0.2,1,56.1,30.2,,15.6,41.2,5.6,86.3,30.2,101.9,0.63,0.14,2.32,2,39.2,0.1,99.9,56.2,1.48,2.29,0.18,0.09,6.02,6.49,5.07,15.87,11.87,7.36,5609600,10,2.37,2.37,148.7,9.57
1870,674.7,4180.5,540.9,1562.4,8.3,1530.5,40.2,231.3,45.4,-9.6,14.8,2.91,2.57,-0.61,7.76,1365.7,54.2,17,173.8,374.2,,1833.3,1799.2,,540.9,131.3,2374.2,6.38,3.1,89.65,484.9,279.9,658.4,2849.8,903.1,1.33,1.46,3.39,0.03,15.28,1.43,0.52,78.88,55.21,3.61,17379037,10,0.83,0.83,4180.5,64.15
1871,69.5,109.3,65.3,80.2,0.8,70.8,10.2,18.1,13.6,14.4,22.57,16.96,12.72,17.96,16.48,74.7,5.4,,30,35.3,,16.7,26.2,1.1,65.3,34.3,82,0.46,0.26,0,,54.1,4.3,36.2,10,0.2,1.38,0.26,0.1,13.74,23.86,20.47,31.45,19.49,2.23,3000000,10,3.4,3.4,109.3,7.5
1872,1494.2,3948.7,1569.7,5012.3,-216.6,4985.8,-190.1,3.1,-185.1,-103.5,0.06,-3.69,-3.79,-2.06,-16.01,4988.6,2.7,10.3,1562.7,7,,1515.9,863.1,,1569.7,-884.1,3085.6,1.51,0.97,31.79,499,435.3,50,2512.2,1649.3,2.22,2.9,0.97,0.35,21.31,6.75,3.68,11.91,6.84,7.47,NA,NA,0.09,0.09,3948.7,NA
1873,73.6,83.8,73.6,10.2,0.1,11.7,-1.4,0.5,-0.6,-2.8,4.9,-5.88,-13.73,-27.45,-1.92,5.7,2.6,,1,75.5,,2.3,5,,73.6,72.5,75.9,0.05,0,50.41,37.1,4.4,34.7,42,34.7,1,0.67,0.03,0.95,147.47,18.5,38,14.1,18.4,3.5,102000,10,23.53,23.53,83.8,NA
1874,3833.8,7936.6,4149.9,13922.9,-42.5,11987.5,1892.9,2582,2150.7,2163.1,18.54,15.45,13.6,15.54,50.66,13725.2,142.8,8.4,573.3,3905.4,,204.8,3085.9,167.2,4149.9,3740.1,4354.7,0.52,0.02,45.79,1900.3,1857.5,2750.8,1817.9,-1383.2,0.2,0.57,0.05,0.12,12.09,4.93,34.81,12.58,6.56,6.8,573302784,1,3.3,1.1,7936.6,37.58
1875,571.8,647.6,378.2,1366,64.6,1192.8,237.8,285.7,262.9,237.3,20.92,19.25,17.41,17.37,91.71,1268,19.1,0.9,147,231.2,,,269.4,,378.2,231.2,378.2,0.64,0,3.09,11.7,22.8,,411.8,153.7,0.65,1.58,0,0.46,40.42,4.7,21.98,4.69,0.71,0.31,1950000,100,99.49,99.49,647.6,NA
1876,-8,182.8,2.1,133.7,4,161.7,-24,12.8,-24,1.4,9.57,-17.95,-17.95,1.05,-170.82,130.6,0.3,0.2,50,-47.7,,167.1,13.4,,2.1,-73.9,169.2,85.76,78.95,0,,95.7,,75.9,61.2,3.39,5.16,79.57,0.19,6.74,8.89,4.49,21.21,7.34,10.83,5000000,10,-5.32,-5.32,182.8,NA
1877,72.6,340.4,71.6,229.3,3.5,240.1,-7.3,13.1,-6.8,0.4,5.71,-2.97,-3.18,0.17,-9.22,219.3,1.7,0.4,30.5,206,,46.9,57,,71.6,41.4,118.5,1.45,0.15,31.98,22.9,247.6,10.1,43.4,-50.1,0.17,0.45,0.66,0.04,4.34,4.4,19.32,10.89,12.38,12.88,3050405,10,-4.98,-4.98,340.4,NA
1878,14.3,67,14.4,3.7,-0.1,5.7,-2.1,0.4,-2,0.4,10.81,-54.05,-56.76,10.81,-13.64,3.4,,,9.9,6.7,,50.1,0.3,,16.6,-13.2,66.7,3.5,0.12,0,,12,2.3,40.3,-8.3,0.83,0.83,3.63,0.02,81.94,13.5,0.09,69.8,70.2,2,76638,100,-31.32,-31.32,67,NA
1879,30.8,33.8,30.8,18.4,0.7,19.5,-0.4,0,-0.4,-0.1,0,-2.17,-2.17,-0.54,-1.29,17.5,0.3,,32,-1.2,,0.2,2.7,0.1,30.8,-0.2,31,0.09,0.01,0,,2.3,13.3,15.8,13.1,3.37,5.85,0.01,1.63,88.24,7.9,3.93,3.71,3.94,5.7,3200000,10,-0.16,-0.16,33.8,NA
1880,39.9,311.1,39.9,,,,,,,,0,0,0,0,0,,,,60,-14.4,,244.8,20.7,,39.9,-20.1,284.7,6.65,0.63,0,,6.1,46.8,216.2,9.9,0.9,0.9,6.14,0,,0,0,,,0,6000900,10,0,0,311.1,
1881,163,1230,95.4,1173.3,-5,1129.6,38.7,117,52.9,72.1,9.97,4.51,3.3,6.15,49.08,1172.5,0.8,,50.1,62.3,,774.1,327.9,15.6,112.4,62.3,886.5,11.41,6.84,272.54,260,359.6,0.4,441.4,-2.7,0.45,0.99,8.29,0.1,14.19,3.54,6.59,108.76,59.13,2.96,3307000,10,11.85,11.85,1230,NA
1882,174.6,673.7,140.3,1168,6,1140.4,33.6,95.4,52.5,52.7,8.17,4.49,2.88,4.51,27.21,1159,1.5,0.2,28.8,130.6,,206.3,295.6,12.4,140.3,112.2,346.6,3.6,0.14,385.1,540.3,93.5,0.1,540.2,59.1,0.57,1.06,1.47,0.01,1.48,4.34,5.09,13.4,5.19,15.75,2880000,10,11.67,11.67,673.7,8.96
1883,1292.2,2184.2,1165.6,4081.6,-60.2,3674.5,346.9,608.3,505.3,403,14.9,12.38,8.5,9.87,32.94,4030.9,30.3,12.1,108,1089.7,,183.5,763.7,39.3,1165.6,1163.8,1349.1,0.87,0.15,6.17,71.9,528.7,530.6,934.9,332,0.58,1.47,0.16,0.48,31.71,4.99,155.03,10.84,11.01,2.55,14400000,10,23.53,23.53,2184.2,NA
1884,45.3,75.6,45.8,72,-0.5,69.7,1.8,5.6,0.4,2.9,7.78,0.56,2.5,4.03,3.99,71.6,0.4,,33.5,7.4,,20.6,7,2.2,45.8,5.9,66.4,0.59,0.08,2034.72,931.9,29.2,,34.6,10.8,0.7,1.45,0.45,0.01,1.58,11.49,6.85,15.83,4.41,2.84,NA,NA,0,0,75.6,NA
1885,41.4,182.5,32.9,311,0.7,307,4.7,28,7.4,16.6,9,2.38,1.51,5.34,15.02,306.7,0.2,,13,16.9,,106.8,23.3,19.5,32.9,16.9,139.7,3.85,2.16,3.04,1,76.6,,91.6,32.6,0.72,1.55,3.25,0.03,2.36,24.99,9.02,45.12,41.98,5.11,1300000,10,0.46,0.46,182.5,NA
1886,208.3,451.8,200.9,533.4,-6.6,491.9,34.9,60.9,52.6,42.6,11.42,9.86,6.54,7.99,21.47,527.1,2,3.8,19,181.9,,136.9,107.9,6.1,200.9,142,337.8,1.18,0.52,0,,141.1,,185.6,51.9,1.02,1.39,0.68,0.29,29.85,6.62,5.8,41.86,6.71,12.03,NA,NA,-0.02,-0.02,451.8,NA
1887,49.8,102.1,49.8,,,,,,,,0,0,0,0,0,,,,20,60.6,,,21.5,,49.8,-0.2,49.8,0.42,0,324.7,161.7,41.9,,0.9,-20.2,0.04,0.04,0,0.04,,NA,NA,NA,NA,NA,NA,NA,0,0,102.1,NA
1888,106.5,283.2,90.9,592.8,-15.8,560.8,16.2,42.3,27,19.8,7.14,4.55,2.73,3.34,19.39,584.8,0.4,7.4,8.5,93,,91.5,87.6,2.6,90.9,88.4,182.4,1.76,0.26,55.01,50,59.8,,200.3,53.4,0.41,1.36,1.01,0.09,8.31,5.81,12.22,2.62,2.6,8.47,851186,10,19.62,19.62,283.2,NA
1889,4355.8,6662.1,1023.3,7778.4,344.3,7564.6,558.1,1289.4,663.9,797.6,16.58,8.54,7.17,10.25,58.6,7688.8,7.9,20.1,486.3,678.4,,3564.2,1454,479.2,1164.7,346.4,4728.9,4.81,2.43,46.63,477.2,2247.2,567.3,2308.1,-156.3,0.25,0.93,3.62,0.05,6.76,5.05,17.29,5.28,5.41,13.33,34419316,10,2.74,2.74,6662.1,57.44
1890,30.6,75.9,30.1,103.9,-0.8,100.9,2.2,9.9,3.3,4.2,9.53,3.18,2.12,4.04,7.45,103.3,,0.3,12.7,17.4,,28.6,16.5,0.7,30.1,17.4,58.7,1.25,0.05,0,,7.8,10.5,46.8,3.2,0.53,1.07,0.95,0.06,9.9,14.22,4.84,75.18,17.48,3.18,1265950,10,1.5,1.5,75.9,NA
1891,514.4,2127.3,343,3284.3,-520.9,2692.1,71.3,405.3,186.8,232.4,12.34,5.69,2.17,7.08,23.18,3275.3,0.6,8.4,253.9,89.1,,1462.2,148.5,173.6,343,-58.4,1805.2,4.65,3.26,56.15,192.6,823.9,51.5,805,315.6,0.41,1.64,4.26,0.12,7.29,6,28.04,3.51,2.76,6.39,25389846,10,2.76,2.76,2127.3,19.15
1892,116.5,339.8,78,246,8.5,193.4,61.1,91.8,78.1,71.6,37.32,31.75,24.84,29.11,92.51,242.7,0.5,0.7,66.6,12.8,,59.5,166.5,34.4,79.4,-6.1,138.9,2.17,0.76,57.18,44.6,195.6,1,96.7,-68,0.29,0.59,0.78,0.1,34.32,3.47,7.1,6.22,3.64,2.99,6522160,10,9.37,6.25,339.8,6.95
1893,1220.9,1029.7,690.8,1305,18.7,1173.4,150.3,284.1,240.3,182.2,21.77,18.41,11.52,13.96,24.41,1300.8,3.3,0.1,30,660.8,,153.7,146.3,38.9,690.8,669.3,844.5,0.41,0.17,0.83,5.7,253.4,2,449,278,1.59,2.63,0.22,0,0.21,11.28,5.6,17.58,13.05,8.89,3000000,10,54.33,54.33,1029.7,NA
1894,12.7,31.7,11.2,29.1,-0.3,27.5,1.3,4.7,2.1,3,16.15,7.22,4.47,10.31,12.38,29.1,,,0.7,10.5,,12,7.5,1,11.2,10.5,23.2,1.74,0.99,0,,13.3,,17.4,9,1.76,2.07,1.07,0.08,9.86,2.94,2.06,9.97,8.92,10.8,68900,10,18.87,18.87,31.7,NA
1895,-6.7,14.6,2.1,0.3,,0.4,-0.1,0.1,-0.1,-0.1,33.33,-33.33,-33.33,-33.33,0,0.1,,,40,-37.8,,12,0.4,,2.1,-37.9,14.1,5.9,5.71,0,,14.4,,,-0.4,0,0,5.71,0,0,NA,NA,NA,NA,NA,4000000,10,-0.07,-0.07,14.6,NA
1896,287.6,908.7,260.6,347,-14.7,300.3,32,68,30.3,38.6,19.6,8.73,9.22,11.12,12.98,301.2,44.9,0.4,75,476.1,,262.9,94.7,,260.6,202.8,523.5,1.33,0.78,23.79,62,650.5,49.1,135.6,-19.8,0.33,0.86,1.01,0.03,5.63,3.81,9.56,2.64,2.98,3.42,37477500,2,0.9,2.26,908.7,18.19
1897,149.2,282.7,122.2,419.1,4.8,392.5,31.4,69,49.2,46.2,16.46,11.74,7.49,11.02,28.33,418.8,0.1,,22,100.2,,88.1,67.7,4.7,122.2,90.2,210.3,1.05,0.15,4.75,5.8,91.7,17.2,140.2,5.4,0.64,1.04,0.72,0.24,32.04,14.88,7.92,9.48,7.21,7.36,1996831,10,16.73,16.73,282.7,NA
1898,133.5,384.1,132.2,1651.5,-19.8,1631.7,0,20.8,0.4,6,1.26,0.02,0,0.36,0,1650.2,0.5,0.7,100.1,32.1,,168.3,68.4,15.2,132.2,32.1,300.5,1.79,0,6.35,8.4,80.6,,269.3,32.6,0.45,1.14,1.27,0.04,2.32,26.59,18.38,60.76,59.93,12.6,9707000,10,-0.01,-0.01,384.1,-435.84
1899,145.2,71.1,55.8,122.8,0.2,120.5,2.5,6.4,4.4,5.5,5.21,3.58,2.04,4.48,4.58,122.8,,,50,5.8,,3.3,7.4,4.6,55.8,5.8,59.1,0.17,0.06,18.46,10.3,28.6,,18.7,11.3,1.84,2.53,0.06,0.46,10.51,106.38,15.54,32.37,2.73,6.59,5000000,10,0.62,0.31,71.1,34.6
1900,25.4,25.6,23.9,22.6,0.9,22.7,0.8,3,-0.2,2.1,13.27,-0.88,3.54,9.29,3.41,19.6,3,,11.8,12.1,,0.5,0.7,0.5,23.9,12.1,24.4,0.05,0.02,0,,16.3,0.7,6.2,5.5,4.57,8.86,0.02,1,11.94,15.52,8.34,28.48,15.31,8.85,NA,NA,0,0,25.6,NA
1901,1.5,32.8,1.5,,,,,,,,0,0,0,0,0,,,,1.6,29.5,,,1.7,,1.5,-0.1,1.5,1.13,0,0,,,,32.2,31.5,46,46,0,0,0,0,0,,,0,157100,10,0,0,32.8,NA
1902,-0.1,10.9,0.1,,,,,,,,0,0,0,0,0,,,,0.1,,,10.8,,,0.1,,10.9,108,108,0,,,,0.1,0.1,,,108,,,NA,NA,NA,NA,NA,NA,NA,0,0,10.9,NA
1903,128.5,263.3,66.8,369.2,-18.9,318.3,32,52,33.9,43.9,14.08,9.18,8.67,11.89,0,354,0.8,2.5,41,25.8,,135.2,61.3,,66.8,31.5,202,2.9,1.36,0,,125.2,0.3,113.7,9.3,0.52,1.09,2.02,0.02,2.33,NA,NA,NA,NA,NA,4100000,10,5.07,5.07,263.3,NA
1904,141.7,150.4,129.7,224.1,1,210.4,14.7,30.4,22,22.6,13.57,9.82,6.56,10.08,11.85,220.9,2.9,,10,119.7,,,20.7,,129.7,129.5,129.7,0.04,0,0,,41.4,19.7,45.1,28.4,1.42,2.7,0,0.07,2.18,41.97,10.57,11.56,11.55,8.96,NA,NA,-0.01,-0.01,150.4,NA
1905,118.9,169.6,60.1,279,9.1,282.9,5.2,21.7,8.2,10.9,7.78,2.94,1.86,3.91,8.79,278.5,,,30,32.3,,89.4,17.9,,60.1,33.1,149.5,1.64,1.51,0,,47.8,,106.6,86,3.74,5.17,1.49,0.02,0.7,79.81,3.18,11.38,11.96,20.85,3000000,10,1.73,1.52,169.6,13.3
1906,1511.5,2322.3,882.5,1671.7,32.1,1437.8,266,470.6,352.3,376.4,28.15,21.07,15.91,22.52,42.18,1642.5,2.3,5.3,136.6,756.9,,971.1,292.2,165.5,893.5,446.7,1864.6,1.27,1.04,37.38,329.9,828.4,3.5,485.9,139.8,0.04,1.4,1.11,0.02,1.7,8.22,325.25,2.77,2.84,18.61,12564676,10,21.34,21.34,2322.3,9.86
1907,745.7,1242.9,676,1095.8,40.2,1116.4,19.6,122,31.4,60.4,11.13,2.87,1.79,5.51,2.9,1050.2,3.6,2.7,43.9,694.5,,168.7,322.2,13.6,676,624,844.7,0.68,0.07,36.97,249.9,131.1,29.9,846.2,418.5,1.05,1.98,0.25,0.14,22.56,4.81,2.83,18.28,3.64,5.6,4388155,10,4.47,3.45,1242.9,44.52
1908,22.6,58.4,24.6,7.5,-0.2,8.3,-1,0.6,-0.9,-0.2,8,-12,-13.33,-2.67,-4.83,7,,,42.5,-12.8,,8.9,12.3,,37.1,-15.6,46,-1.84,-0.46,2.44,0.6,36.7,,20.5,11,0.98,1.74,0.87,0.41,217.15,5.2,0.41,7.38,7.55,1.14,NA,NA,0,0,58.4,NA
1909,6.2,44.5,6.5,,,,,,,,0,0,0,0,0,,,,5,,,,38,,6.5,,6.5,5.85,0,0,,42.3,1.1,1,-37,0.03,0.03,0,0.03,,0,0,,,0,NA,NA,0,0,44.5,NA
1910,244.9,549.6,229.2,840.5,8.3,840.1,8.7,41.9,13.6,21.5,4.99,1.62,1.04,2.56,3.8,833.6,1,5.4,44.5,184.7,,129.9,190.5,,229.2,228.1,359.1,1.33,0.29,25.52,58.5,69.8,0.2,411.3,162.7,0.84,1.65,0.57,0.29,31.88,4.38,5.15,3.39,3.25,5.25,4450080,10,1.84,1.84,549.6,NA
1911,31,35.7,31.2,30.7,0.2,30.2,0.7,3,1,2.4,9.77,3.26,2.28,7.82,0,29.1,0.9,,2,29.2,,0.4,4.1,,31.2,29.3,31.6,0.12,0.01,0,,3.4,3.6,24.8,21.1,2.85,6.7,0.01,0.45,19.41,NA,NA,NA,NA,NA,NA,NA,0,0,35.7,NA
1912,-5.4,85,0.4,22.6,-1,24.4,-2.8,-1.7,-2.8,-2.5,-7.52,-12.39,-12.39,-11.06,-155.56,22.5,0.1,,0.5,65.6,,12.9,6,,0.4,0.3,13.3,45,6,1650,6.6,71.8,,9.5,-6.6,0.34,0.58,32.25,0.08,19.29,6.87,9.18,7.98,9.37,0.67,128,1000,-21875,-21875,85,NA
1913,299.8,464.8,277.9,896,24,914.4,5.6,31.9,19.3,9.6,3.56,2.15,0.63,1.07,2.03,876.1,18.3,1.1,16.9,261,,55.2,125.6,6.1,277.9,261,333.1,0.47,0,2.2,6.1,46.6,29.3,247.7,92.1,1,1.59,0.2,0.13,8.99,14.59,4.79,9.91,0.34,5,1692600,10,16.72,16.72,464.8,NA
1914,22.6,39.7,25.5,12.7,,12.2,0.5,1.2,-0.3,0.5,9.45,-2.36,3.94,3.94,2.02,10.1,1.6,0.3,4.1,21.4,,2,9.7,2.5,25.5,21.4,27.5,0.45,0.02,9.02,2.3,9.1,9.1,15.7,4.5,0.96,1.4,0.08,0.02,5.98,0.71,1.03,,2.29,0,406000,10,-0.49,-0.49,39.7,NA
1915,5.1,5.6,5.2,,,,,,,,0,0,0,0,0,,,,0.4,5,,0.2,,,5.2,-0.2,5.4,0.04,0.04,0,,,,0.1,0.1,,,0.04,,,0,0,,,0,NA,NA,0,0,5.6,NA
1916,328.5,823,289.7,1142.5,83.5,1146.1,79.9,178.7,127.5,119.8,15.64,11.16,6.99,10.49,31.99,1124.3,0.6,10.5,69.6,220.1,,189.9,327.3,16.1,289.7,95,479.6,1.52,0.66,13.77,39.9,122.4,1.2,590.6,301.9,1.22,2.03,0.66,0.13,13.84,4.51,3.61,13.57,6.02,6.22,6964267,10,10.45,10.45,823,17.05
1917,77.4,164.4,77.4,172.5,15.4,170.2,17.7,29.4,21.8,16.1,17.04,12.64,10.26,9.33,25.84,156.9,7.3,4.5,10,67.4,,55.1,31.9,,77.4,67.4,132.5,1.12,0.7,0,,8.6,23.6,113.1,80,1.24,3.42,0.71,0.12,10.09,32.14,4.11,3.02,3.41,7.38,NA,NA,-0.01,-0.01,164.4,NA
1918,28.8,111.6,31.9,535.4,35.4,570.3,0.5,6.2,0.5,1.4,1.16,0.09,0.09,0.26,0,531.9,1.1,2.2,13,18.9,,50.5,28.8,0.4,31.9,5.6,82.4,2.45,1.59,0,,6.5,0.3,84.2,55.6,0.77,2.93,1.58,0.16,3.17,NA,NA,NA,NA,NA,49890,100,6.01,6.01,111.6,NA
1919,8.2,16,7.7,14.1,-0.9,13.5,-0.3,0.9,0,0.5,6.38,0,-2.13,3.55,-3.85,13,,1.1,4.6,3.1,,2.8,4.8,0.7,7.7,3.1,10.5,0.84,0.36,9.09,0.7,4.6,,8.6,3.8,1.33,1.79,0.36,0.21,26.45,3.5,2.52,15.27,14.63,7.3,454300,10,-0.44,-0.44,16,NA
1920,3.9,18.8,3.9,22.1,-0.3,21.9,-0.1,2.3,-0.1,1,10.41,-0.45,-0.45,4.52,-2.5,21.8,,0.3,7.5,-3.6,,9.1,5.8,,3.9,-3.6,13,3.77,1,0,,7,,11.7,0.7,0.55,1.06,2.33,0,0,3.72,6.81,4.75,4.02,11.69,NA,NA,0,0,18.8,NA
1921,1874.8,5374.9,1003.8,5160.7,175.9,5057.4,279.2,734.7,410.1,407.5,14.24,7.95,5.41,7.9,33.04,5077.4,13.3,67.9,57.1,969.7,,2057.3,2167.1,123.7,1003.8,932.6,3061.1,4.16,0.83,47.66,478.4,845.6,62.9,4027.9,640,0.7,1.19,2.05,0.07,19.95,2.44,3.09,14.44,4.4,4.46,5707783,10,50.93,3.4,5374.9,27.07
